Timestamp,City,Country,Latitude,Longitude,Temp_C,Temp_F,FeelsLike_C,FeelsLike_F,Humidity_%,Wind_kmh,Wind_Dir,Wind_Deg,Rain_mm,UV_Index,Pressure_hPa,CloudCover_%,Visibility_km,Condition,WMO_Code
2026-06-25 00:11:19,New York,United States,40.7128,-74.006,26,78.8,24,75.2,36,8,WNW,291,0.0,0,1011,8,55.1,Clear Sky,0
2026-06-25 00:11:19,London,United Kingdom,51.5074,-0.1278,25,77.0,26,78.8,66,16,E,84,0.0,0,1018,0,23.1,Clear Sky,0
2026-06-25 00:11:19,Tokyo,Japan,35.6762,139.6503,20,68.0,24,75.2,96,3,NNE,16,0.3,0,1007,91,2.9,Heavy Drizzle,55
2026-06-25 00:11:19,Sydney,Australia,-33.8688,151.2093,15,59.0,14,57.2,86,10,S,190,0.1,2,1024,80,6.9,Light Drizzle,51
2026-06-25 00:11:19,Dubai,UAE,25.2048,55.2708,30,86.0,38,100.4,84,2,SSW,212,0.0,0,997,0,12.6,Clear Sky,0
2026-06-25 00:11:19,Paris,France,48.8566,2.3522,31,87.8,33,91.4,45,5,NE,39,0.0,0,1012,0,42.4,Clear Sky,0
2026-06-25 00:11:19,Singapore,Singapore,1.3521,103.8198,26,78.8,31,87.8,96,10,SSE,159,0.0,0,1006,91,9.1,Overcast,3
2026-06-25 00:11:19,Los Angeles,United States,34.0522,-118.2437,24,75.2,25,77.0,57,13,WSW,250,0.0,4,1002,4,30.1,Clear Sky,0
2026-06-25 00:11:19,Mumbai,India,19.076,72.8777,26,78.8,31,87.8,90,9,SSW,193,0.0,0,1006,97,8.2,Overcast,3
2026-06-25 00:11:19,Cairo,Egypt,30.0444,31.2357,23,73.4,25,77.0,70,4,N,349,0.0,0,1009,0,37.3,Clear Sky,0
2026-06-25 00:11:19,Moscow,Russia,55.7558,37.6173,13,55.4,14,57.2,89,1,WNW,288,0.0,0,995,99,23.8,Overcast,3
2026-06-25 05:04:10,New York,United States,40.7128,-74.006,19,66.2,19,66.2,70,7,NW,321,0.0,0,1013,0,24.5,Clear Sky,0
2026-06-25 05:04:10,London,United Kingdom,51.5074,-0.1278,22,71.6,23,73.4,73,11,E,80,0.0,0,1016,27,14.0,Mainly Clear,1
2026-06-25 05:04:10,Tokyo,Japan,35.6762,139.6503,20,68.0,23,73.4,96,5,N,360,0.1,0,1006,91,6.8,Light Drizzle,51
2026-06-25 05:04:10,Sydney,Australia,-33.8688,151.2093,16,60.8,14,57.2,70,13,SSE,164,0.1,0,1022,69,7.4,Light Drizzle,51
2026-06-25 05:04:10,Dubai,UAE,25.2048,55.2708,36,96.8,39,102.2,41,6,SSW,200,0.0,5,1000,21,18.2,Mainly Clear,1
2026-06-25 05:04:10,Paris,France,48.8566,2.3522,28,82.4,30,86.0,57,3,E,96,0.0,0,1012,0,33.4,Clear Sky,0
2026-06-25 05:04:10,Singapore,Singapore,1.3521,103.8198,31,87.8,36,96.8,66,13,S,173,0.0,7,1005,87,12.5,Overcast,3
2026-06-25 05:04:10,Los Angeles,United States,34.0522,-118.2437,16,60.8,17,62.6,89,8,W,270,0.0,0,1002,21,13.7,Mainly Clear,1
2026-06-25 05:04:10,Mumbai,India,19.076,72.8777,28,82.4,34,93.2,77,12,SSW,210,0.0,2,1008,34,12.3,Mainly Clear,1
2026-06-25 05:04:10,Cairo,Egypt,30.0444,31.2357,23,73.4,26,78.8,76,3,NNW,344,0.0,2,1011,0,32.0,Clear Sky,0
2026-06-25 05:04:10,Sao Paulo,Brazil,-23.5505,-46.6333,11,51.8,10,50.0,96,5,ESE,123,0.0,0,933,100,2.1,Overcast,3
2026-06-25 05:04:10,Moscow,Russia,55.7558,37.6173,15,59.0,15,59.0,83,4,W,281,0.0,0,994,98,26.4,Overcast,3
2026-06-25 09:19:06,New York,United States,40.7128,-74.006,17,62.6,17,62.6,82,7,NNW,347,0.0,0,1015,19,18.3,Clear Sky,0
2026-06-25 09:19:06,London,United Kingdom,51.5074,-0.1278,27,80.6,28,82.4,59,17,E,88,0.0,4,1016,0,17.3,Clear Sky,0
2026-06-25 09:19:06,Tokyo,Japan,35.6762,139.6503,20,68.0,23,73.4,97,4,NNW,329,0.0,0,1004,93,6.4,Overcast,3
2026-06-25 09:19:06,Sydney,Australia,-33.8688,151.2093,13,55.4,12,53.6,89,6,S,173,0.1,0,1022,80,7.1,Light Drizzle,51
2026-06-25 09:19:06,Dubai,UAE,25.2048,55.2708,38,100.4,44,111.2,42,12,WNW,299,0.0,9,998,0,19.8,Clear Sky,0
2026-06-25 09:19:06,Paris,France,48.8566,2.3522,34,93.2,36,96.8,34,10,ENE,73,0.0,5,1011,25,45.1,Partly Cloudy,2
2026-06-25 09:19:06,Singapore,Singapore,1.3521,103.8198,30,86.0,34,93.2,71,10,SSW,194,0.0,2,1003,94,6.9,Light Drizzle,51
2026-06-25 09:19:06,Los Angeles,United States,34.0522,-118.2437,16,60.8,17,62.6,95,3,NW,306,0.0,0,1002,100,10.3,Overcast,3
2026-06-25 09:19:06,Mumbai,India,19.076,72.8777,29,84.2,35,95.0,76,12,SW,231,0.1,3,1006,89,8.5,Thunderstorm,95
2026-06-25 09:19:06,Cairo,Egypt,30.0444,31.2357,32,89.6,34,93.2,33,8,NW,311,0.0,7,1010,0,43.8,Clear Sky,0
2026-06-25 09:19:06,Sao Paulo,Brazil,-23.5505,-46.6333,11,51.8,10,50.0,97,8,SE,135,0.0,0,934,100,0.8,Overcast,3
2026-06-25 09:19:06,Moscow,Russia,55.7558,37.6173,18,64.4,17,62.6,55,6,WNW,289,0.0,1,994,98,40.4,Overcast,3
2026-06-25 12:19:24,New York,United States,40.7128,-74.006,22,71.6,23,73.4,70,5,NW,323,0.0,2,1014,0,24.4,Clear Sky,0
2026-06-25 12:19:24,London,United Kingdom,51.5074,-0.1278,30,86.0,32,89.6,50,21,E,95,0.0,6,1016,0,21.0,Clear Sky,0
2026-06-25 12:19:24,Tokyo,Japan,35.6762,139.6503,20,68.0,23,73.4,96,4,WNW,299,0.0,0,1006,93,7.4,Overcast,3
2026-06-25 12:19:24,Sydney,Australia,-33.8688,151.2093,13,55.4,12,53.6,88,5,SE,135,0.1,0,1022,90,5.9,Drizzle,53
2026-06-25 12:19:24,Dubai,UAE,25.2048,55.2708,37,98.6,40,104.0,44,14,WNW,298,0.0,4,996,0,19.4,Clear Sky,0
2026-06-25 12:19:24,Paris,France,48.8566,2.3522,39,102.2,40,104.0,21,14,SE,124,0.0,7,1010,31,52.4,Overcast,3
2026-06-25 12:19:24,Singapore,Singapore,1.3521,103.8198,27,80.6,34,93.2,91,1,S,189,0.1,0,1005,95,6.8,Heavy Drizzle,55
2026-06-25 12:19:24,Los Angeles,United States,34.0522,-118.2437,16,60.8,18,64.4,88,2,NW,315,0.0,0,1001,100,14.1,Overcast,3
2026-06-25 12:19:24,Mumbai,India,19.076,72.8777,28,82.4,33,91.4,81,12,SW,224,0.0,2,1005,28,20.2,Mainly Clear,1
